Letter Pair 	Frequency
ст 				0.552
ра 				0.504
ни 				0.496
ов 				0.372
ти 				0.372
ен 				0.332
но 				0.328
ро 				0.304
на 				0.3
ан 				0.296
об 				0.288
за 				0.28
аз 				0.28
по 				0.28
ия 				0.26
ор 				0.252
ва 				0.248
ци 				0.244
ны 				0.24
ет 				0.22
ос 				0.22
пр 				0.208
то 				0.204
ре 				0.204
ии 				0.196
со 				0.184
ль 				0.176
ви 				0.176
ес 				0.172
ли 				0.168
ац 				0.164
ал 				0.16
из 				0.16
ит 				0.16
ив 				0.16
те 				0.16
вн 				0.156
нн 				0.156
рм 				0.152
фо 				0.152
зв 				0.148
де 				0.144
ас 				0.144
не 				0.144
ед 				0.14
пе 				0.136
ой 				0.136
ча 				0.132
ир 				0.132
ел 				0.132
да 				0.132
ых 				0.132
ав 				0.132
ле 				0.132
вл 				0.128
сп 				0.124
от 				0.124
га 				0.124
бо 				0.124
ие 				0.12
ый 				0.12
че 				0.12
ий 				0.116
ад 				0.116
ьн 				0.116
ач 				0.112
ми 				0.112
ер 				0.112
ае 				0.108
ко 				0.108
ис 				0.104
зн 				0.104
уч 				0.104
тр 				0.104
од 				0.096
ка 				0.096
ло 				0.096
ог 				0.096
кт 				0.096
сл 				0.092
еч 				0.092
ак 				0.092
бу 				0.092
ру 				0.088
ей 				0.084
оз 				0.084
ом 				0.084
тв 				0.084
бе 				0.08
го 				0.08
бр 				0.08
дн 				0.08
мо 				0.08
ки 				0.076
рг 				0.076
ве 				0.076
ол 				0.072
ши 				0.072
ше 				0.072
чи 				0.072
ин 				0.072
сс 				0.068
вы 				0.068
им 				0.068
ая 				0.068
та 				0.068
др 				0.068
ок 				0.068
ты 				0.064
же 				0.064
ят 				0.064
оо 				0.064
ев 				0.064
ат 				0.064
ую 				0.06
оп 				0.06
он 				0.06
аб 				0.06
ем 				0.06
ме 				0.06
си 				0.056
се 				0.052
вс 				0.052
ея 				0.052
ма 				0.052
во 				0.052
ук 				0.052
нт 				0.048
кр 				0.048
ам 				0.048
ус 				0.048
уг 				0.048
чт 				0.048
еб 				0.048
ап 				0.044
ри 				0.044
иц 				0.044
ть 				0.044
зи 				0.044
ур 				0.04
яе 				0.04
ля 				0.04
су 				0.04
ож 				0.04
ту 				0.04
йш 				0.04
ла 				0.04
уе 				0.04
ым 				0.04
аж 				0.04
гр 				0.036
их 				0.036
иа 				0.036
ец 				0.036
гу 				0.036
ио 				0.036
зо 				0.036
тс 				0.036
ют 				0.036
му 				0.036
еп 				0.036
ыв 				0.036
ич 				0.032
ик 				0.032
ию 				0.032
ву 				0.032
ян 				0.032
пы 				0.032
ыт 				0.032
оя 				0.032
ое 				0.032
аш 				0.032
вш 				0.028
еа 				0.028
пл 				0.028
щи 				0.028
чн 				0.028
жи 				0.028
нс 				0.028
ущ 				0.028
жн 				0.028
це 				0.028
ся 				0.028
яс 				0.028
ша 				0.028
оц 				0.028
тн 				0.024
зд 				0.024
рн 				0.024
ид 				0.024
оч 				0.024
мы 				0.024
кс 				0.024
дс 				0.024
сн 				0.024
эк 				0.024
рк 				0.024
ые 				0.024
зы 				0.02
ищ 				0.02
ар 				0.02
мк 				0.02
дм 				0.016
фи 				0.016
ще 				0.016
зл 				0.016
нд 				0.016
бы 				0.016
ду 				0.016
ну 				0.016
фе 				0.016
сф 				0.016
нф 				0.016
па 				0.016
аг 				0.016
ее 				0.016
иг 				0.016
ди 				0.016
ск 				0.016
ря 				0.012
яд 				0.012
дк 				0.012
ег 				0.012
ут 				0.012
дл 				0.012
бн 				0.012
щн 				0.012
кж 				0.012
сш 				0.012
ям 				0.012
йн 				0.012
тя 				0.012
ош 				0.012
ьк 				0.012
бл 				0.012
эт 				0.012
ьт 				0.012
ул 				0.012
ры 				0.012
бс 				0.012
дг 				0.012
вк 				0.012
ып 				0.012
лн 				0.012
ня 				0.012
зр 				0.012
тк 				0.012
ке 				0.012
ыс 				0.012
ющ 				0.008
